MusselGapeTracker RevA  Main board smd parts,,,,,
Part,Value,Device,Package,Description,
BJT,KSC1623_BJT_TRANSISTOR,KSC1623_BJT_TRANSISTOR,SOT23,KSC1623 BJT NPN transistor - Fairchild Seminconductor KSC1623LMTF,
BUTTON0,PUSHBUTTON_DPST_SMDSTANDARD,PUSHBUTTON_DPST_SMDSTANDARD,PUSHBUTTON_DPST_SMD,PUSHBUTTON DPST SMD,
BUTTON1,PUSHBUTTON_DPST_SMDSTANDARD,PUSHBUTTON_DPST_SMDSTANDARD,PUSHBUTTON_DPST_SMD,PUSHBUTTON DPST SMD,
C1,1µF,CPOL-USB,PANASONIC_B,"POLARIZED CAPACITOR, American symbol",
C2,1µF,CPOL-USB,PANASONIC_B,"POLARIZED CAPACITOR, American symbol",
C3,0.1µF,CAP0603,603,Capacitor,
C4,0.1µF,CAP0603,603,Capacitor,
C5,0.1µF,CAP0603,603,Capacitor,
C6,0.1µF,CAP0603,603,Capacitor,
C7,0.1µF,CAP0603,603,Capacitor,
C8,0.1µF,CAP0603,603,Capacitor,
C9,0.1µF,CAP0603,603,Capacitor,
C10,0.1µF,CAP0603,603,Capacitor,
CR1220_BATTERY,CR1220_BATTERY_HOLDERSMD,CR1220_BATTERY_HOLDERSMD,CR1220_BATTERY_HOLDER_SMD,CR1220 Battery Holder,
DS3231M,DS3231MSOIC-8,DS3231MSOIC-8,DS3231M_SOIC8,DS3231M real time clock,
I2C_HEADER,PINHD-1X4BIG_LOCK,PINHD-1X4BIG_LOCK,1X04_BIGLOCK,"1x4 header, multiple pins spacings",
INDUCTOR,10µH,INDUCTOR0805_TY,I_0805,Inductor,
J1,AVR_SPI_PRG_6PTH,AVR_SPI_PRG_6PTH,2X3,AVR ISP 6 Pin,
JP1,FTDI_HEADER,PINHD-1X6LOCK,1X06-BIGLOCK,PIN HEADER,
LED1,RED_LED,LED0805,CHIPLED_0805,LEDs,
LED2,GREEN_LED,LED0805,CHIPLED_0805,LEDs,
MCP1700T-3302,MCP1700T-3302E/TT,MCP1700T-3302E/TT,SOT95P237X112-3N,Low Quiescent Current LDO 3.3V,
P-FET,MOSFET-PCHANNELBSH203,MOSFET-PCHANNELBSH203,SOT23-3,Generic PMOSFET,
R1,100 O,RESISTOR_SMDR0603,R0603,"RESISTOR, American symbol",
R2,100 O,RESISTOR_SMDR0603,R0603,"RESISTOR, American symbol",
R3,10k O,RESISTOR_SMDR0603,R0603,"RESISTOR, American symbol",
R4,100k O,RESISTOR_SMDR0603,R0603,"RESISTOR, American symbol",
R5,100k O,RESISTOR_SMDR0603,R0603,"RESISTOR, American symbol",
R6,10k O,RESISTOR_SMDR0603,R0603,"RESISTOR, American symbol",
R7,10k O,RESISTOR_SMDR0603,R0603,"RESISTOR, American symbol",
R8,10k O,RESISTOR_SMDR0603,R0603,"RESISTOR, American symbol",
R9,10k O,RESISTOR_SMDR0603,R0603,"RESISTOR, American symbol",
R14,10k O,RESISTOR_SMDR0603,R0603,"RESISTOR, American symbol",
R15,100k O,RESISTOR_SMDR0603,R0603,"RESISTOR, American symbol",
R28,10k O,RESISTOR_SMDR0603,R0603,"RESISTOR, American symbol",
R29,15k,RESISTOR_SMDR0603,R0603,"RESISTOR, American symbol",
R30,10k,RESISTOR_SMDR0603,R0603,"RESISTOR, American symbol",
R31,10k,RESISTOR_SMDR0603,R0603,"RESISTOR, American symbol",
R32,10k,RESISTOR_SMDR0603,R0603,"RESISTOR, American symbol",
R33,10k,RESISTOR_SMDR0603,R0603,"RESISTOR, American symbol",
RESET,PUSHBUTTON_DPST_SMDSTANDARD,PUSHBUTTON_DPST_SMDSTANDARD,PUSHBUTTON_DPST_SMD,PUSHBUTTON DPST SMD,
SHIFT_0,74HC595D,74HC595D,SO16,74HC595 Shift register,
SHIFT_1,74HC595D,74HC595D,SO16,74HC595 Shift register,
U$1,MICROSD_MOLEX_REVERSECURRENT,MICROSD_MOLEX_REVERSECURRENT,MICROSD_SOCKET_MOLEX_REVERSEMOUNT,"Molex micro SD connector, push-push spring loaded, reverse"" mount""",
U$2,74HC4067SM96,74HC4067SM96,SSOP24,74HC4067 16-channel multiplexer,
U1,ATMEGA328P,ATMEGA328_SMT,TQFP32-08,32-Pin Atmega328,
X1,22-23-2021,22-23-2021,22-23-2021,Molex KK series,MOLEX
